signalname,pub_year,n_j,mean_m,sd_m,sharpe_m,sharpe_ann,frontier_at_nj,margin,censored
DivOmit,1995,347,0.8525561425240498,5.385007262721016,0.1583203329039258,0.5484377209216365,1.0685887457296188,-0.5201510248079824,False
DivSeason,2013,132,0.0908712384834186,0.4947990525069054,0.1836528142546321,0.6361920104840653,1.7836659216344297,-1.1474739111503645,False
DivYieldST,1979,540,0.631186132133053,1.5256087007140544,0.4137274071900803,1.433193779473913,0.8513565645486032,0.5818372149253097,False
DolVol,1998,312,0.3879428182350795,3.6315911175718703,0.1068244760149273,0.3700508398995542,1.1383037907342661,-0.768252950834712,False
DownRecomm,2001,276,0.1852698472979729,1.060938074603931,0.1746283329186181,0.6049302901121985,1.2100106941676176,-0.6050804040554192,False
EBM,2007,204,0.2142194119829745,1.7760589889528944,0.1206150321106571,0.4178227275444194,1.4490337056121227,-1.0312109780677035,False
EP,1977,564,0.203441478503393,2.878530296948442,0.0706754689082353,0.2448270059956361,0.8330456808500831,-0.588218674854447,False
EarnSupBig,2007,204,0.4757742981535091,3.398855441956244,0.139980739480839,0.4849075057237518,1.4490337056121227,-0.964126199888371,False
EarningsConsistency,2009,180,0.3616568259272051,2.324621967049114,0.1555766189314187,0.5389332169179987,1.5605777776195584,-1.0216445607015596,False
EarningsForecastDisparity,2011,156,0.1529088870676097,2.66627676242306,0.0573492179141407,0.1986635184032619,1.672121849626994,-1.4734583312237322,False
EarningsStreak,2012,144,0.6818815623458893,1.912953093360591,0.3564549307102925,1.2347961011973407,1.727893885630712,-0.49309778443337127,False
EarningsSurprise,1984,480,0.4002542025855762,1.7992524754762125,0.2224558298743705,0.7706095995646163,0.9029999999999999,-0.13239040043538364,False
EntMult,2011,156,0.2814001831118964,4.1378629753557306,0.0680061627917257,0.2355802583661382,1.672121849626994,-1.436541591260856,False
EquityDuration,2004,240,0.0075093086040521,3.4446117359511197,0.0021800159726793,0.0075517968519845,1.2817175976009691,-1.2741658007489847,False
ExchSwitch,1995,348,0.7736962780864872,3.8220479594340713,0.2024297670511303,0.7012372829937801,1.0665968873009146,-0.36535960430713454,False
ExclExp,2003,252,0.0508958384765344,1.434876175081064,0.0354705439817195,0.1228735686968894,1.2578152964565186,-1.1349417277596292,False
FEPS,2006,216,0.6445276782960143,5.422419518551778,0.1188634844815834,0.4117551885735545,1.3932616696084048,-0.9815064810348504,False
FR,2006,216,-0.444335098843644,4.341040731262717,-0.1023568140339462,-0.3545744048153481,1.3932616696084048,-1.7478360744237529,False
FirmAge,1984,480,-0.1393538083942491,2.6889102953873074,-0.0518253839234814,-0.1795283961544662,0.9029999999999999,-1.082528396154466,False
FirmAgeMom,2006,216,0.8432898810591131,4.872879328683459,0.1730578215009791,0.5994898789737629,1.3932616696084048,-0.7937717906346419,False
ForecastDispersion,2002,264,0.3313305647822104,4.121133325264814,0.0803979242192849,0.2785065791417478,1.2339129953120682,-0.9554064161703204,False
Frontier,2009,180,0.4864646867995241,6.062048067514854,0.0802475799237519,0.2779857712247651,1.5605777776195584,-1.2825920063947933,False
GP,2013,132,1.0241899485981474,4.434792332547273,0.230944285954844,0.8000144739830107,1.7836659216344297,-0.983651447651419,False
